date,district_code,Record_Count
2013-11-30,440305,1
2013-11-30,440307,6
2013-12-01,440307,3
2013-12-02,440307,3
2013-12-03,440303,1
2013-12-03,440306,1
2013-12-03,440307,1
2013-12-04,440305,1
2013-12-04,440306,1
2013-12-04,440307,2
2013-12-05,440303,1
2013-12-05,440306,1
2013-12-06,440303,1
2013-12-06,440305,1
2013-12-06,440306,2
2013-12-06,440307,9
2013-12-07,440303,4
2013-12-07,440305,5
2013-12-07,440306,1
2013-12-07,440307,4
2013-12-08,440303,2
2013-12-08,440305,7
2013-12-08,440306,1
2013-12-08,440307,7
2013-12-09,440305,1
2013-12-09,440306,1
2013-12-09,440307,10
2013-12-09,440311,1
2013-12-10,440303,2
2013-12-10,440306,1
2013-12-10,440307,5
2013-12-11,440306,2
2013-12-11,440309,1
2013-12-12,440306,3
2013-12-13,440303,1
2013-12-13,440305,1
2013-12-13,440306,3
2013-12-13,440311,1
2013-12-14,440306,2
2013-12-15,440305,1
2013-12-15,440306,1
2013-12-16,440303,1
2013-12-16,440304,1
2013-12-16,440306,2
2013-12-17,440305,2
2013-12-17,440308,1
2013-12-18,440305,7
2013-12-18,440306,4
2013-12-18,441901,1
2013-12-19,440304,1
2013-12-19,440305,5
2013-12-19,440306,7
2013-12-19,440311,1
2013-12-20,440305,4
2013-12-20,440306,3
2013-12-20,440311,1
2013-12-21,440305,4
2013-12-21,440306,2
2013-12-21,440307,3
2013-12-22,440305,1
2013-12-22,440306,5
2013-12-22,440307,3
2013-12-23,440304,1
2013-12-23,440306,7
2013-12-23,440307,3
2013-12-24,440306,4
2013-12-24,440307,2
2013-12-25,440304,1
2013-12-25,440305,1
2013-12-25,440306,6
2013-12-25,440307,1
2013-12-25,440312,1
2013-12-26,440305,3
2013-12-26,440306,6
2013-12-27,440306,1
2013-12-27,440307,1
2013-12-27,440312,1
2013-12-28,440303,1
2013-12-28,440304,1
2013-12-28,440305,3
2013-12-28,440306,5
2013-12-29,440303,1
2013-12-29,440305,1
